Date, Open, High, Low, Close
10/06/23, 33040.70, 33557.69, 32846.94, 33407.58
10/05/23, 33099.23, 33174.38, 32941.56, 33119.57
10/04/23, 33034.18, 33156.45, 32873.23, 33129.55
10/03/23, 33318.84, 33398.54, 32916.20, 33002.38
10/02/23, 33455.50, 33511.91, 33219.56, 33433.35
09/29/23, 33882.61, 33893.68, 33407.45, 33507.50
09/28/23, 33519.44, 33777.90, 33473.50, 33666.34
09/27/23, 33682.81, 33731.65, 33306.30, 33550.27
09/26/23, 33862.68, 33879.93, 33569.60, 33618.88
09/25/23, 33907.59, 34017.53, 33780.67, 34006.88
09/22/23, 34077.08, 34156.15, 33947.24, 33963.84
09/21/23, 34332.23, 34378.30, 34058.72, 34070.42
09/20/23, 34575.50, 34776.28, 34434.29, 34440.88
09/19/23, 34571.84, 34597.56, 34311.69, 34517.73
09/18/23, 34612.29, 34725.06, 34545.35, 34624.30
09/15/23, 34902.04, 34902.04, 34572.27, 34618.24
09/14/23, 34687.50, 34977.97, 34687.50, 34907.11
09/13/23, 34667.28, 34767.11, 34509.95, 34575.53
09/12/23, 34620.02, 34852.61, 34560.55, 34645.99
09/11/23, 34650.01, 34784.52, 34578.59, 34663.72
09/08/23, 34487.41, 34627.85, 34473.57, 34576.59
09/07/23, 34351.18, 34560.86, 34351.18, 34500.73
09/06/23, 34611.68, 34611.68, 34291.56, 34443.19
09/05/23, 34843.22, 34871.26, 34635.63, 34641.97
09/01/23, 34876.24, 34979.18, 34720.70, 34837.71
08/31/23, 34909.09, 35070.21, 34719.77, 34721.91
08/30/23, 34847.80, 35025.57, 34811.74, 34890.24
08/29/23, 34531.12, 34864.42, 34531.12, 34852.67
08/28/23, 34441.64, 34652.91, 34441.64, 34559.98
08/25/23, 34217.06, 34441.91, 34029.22, 34346.90
08/24/23, 34439.83, 34694.68, 34093.65, 34099.42
08/23/23, 34338.59, 34534.72, 34321.00, 34472.98
08/22/23, 34494.17, 34514.04, 34256.84, 34288.83
08/21/23, 34531.28, 34570.96, 34248.46, 34463.69
08/18/23, 34368.36, 34587.07, 34263.19, 34500.66
08/17/23, 34829.61, 34888.48, 34440.73, 34474.83
08/16/23, 34914.96, 35133.56, 34757.37, 34765.74
08/15/23, 35219.37, 35219.37, 34908.50, 34946.39
08/14/23, 35273.89, 35335.45, 35169.97, 35307.63
08/11/23, 35111.36, 35354.60, 35059.99, 35281.40
08/10/23, 35231.54, 35578.58, 35107.60, 35176.15
08/09/23, 35324.28, 35370.89, 35058.73, 35123.36
08/08/23, 35345.40, 35346.64, 35007.41, 35314.49
08/07/23, 35125.60, 35497.38, 35125.60, 35473.13
08/04/23, 35230.13, 35506.88, 35033.76, 35065.62
08/03/23, 35194.56, 35348.20, 35122.32, 35215.89
08/02/23, 35551.92, 35551.92, 35226.26, 35282.52
08/01/23, 35585.99, 35679.13, 35526.61, 35630.68
07/31/23, 35465.97, 35566.95, 35430.22, 35559.53
07/28/23, 35443.49, 35565.51, 35355.15, 35459.29
07/27/23, 35558.79, 35645.35, 35216.58, 35282.72
07/26/23, 35345.99, 35633.61, 35306.27, 35520.12
07/25/23, 35421.49, 35527.57, 35365.26, 35438.07
07/24/23, 35230.79, 35463.97, 35230.79, 35411.24
07/21/23, 35274.32, 35340.66, 35186.05, 35227.69
07/20/23, 35091.98, 35372.77, 35091.98, 35225.18
07/19/23, 34991.21, 35234.05, 34991.21, 35061.21
07/18/23, 34597.08, 34986.36, 34530.61, 34951.93
07/17/23, 34499.74, 34665.15, 34418.72, 34585.35
07/14/23, 34425.33, 34592.26, 34425.33, 34509.03
07/13/23, 34412.31, 34482.26, 34365.33, 34395.14
07/12/23, 34395.28, 34586.94, 34308.78, 34347.43
07/11/23, 34056.94, 34288.87, 33993.01, 34261.42
07/10/23, 33705.68, 33958.36, 33705.68, 33944.40
